exp_id,num_cores,cpu_clock_GHz,l1i_kb,l1d_kb,l1_assoc,l2_kb,l2_assoc,fetchWidth,decodeWidth,issueWidth,commitWidth,numROBEntries,numIQEntries,LQEntries,SQEntries,branch_predictor
0,2,3.4,16,32,1,128,16,2,8,2,4,32,32,64,8,TAGE
1,16,1.4,128,64,2,512,4,8,2,12,8,256,128,32,32,LocalBP
2,16,3.2,64,16,8,512,4,8,2,2,2,128,96,32,32,TournamentBP
3,8,2.8,64,16,1,2048,8,12,4,2,4,128,96,64,16,MultiperspectivePerceptron64KB
4,16,4.0,128,16,2,1024,2,12,8,8,12,192,96,64,64,MultiperspectivePerceptron64KB
5,1,3.8,128,128,8,128,2,2,12,12,8,256,64,64,64,TAGE
6,2,1.0,16,32,2,2048,16,2,8,2,12,64,16,64,8,TournamentBP
7,2,2.0,32,32,8,1024,2,8,8,4,8,128,32,8,32,MultiperspectivePerceptron64KB
8,1,4.0,16,16,4,256,8,8,4,4,12,192,64,64,16,MultiperspectivePerceptron64KB
9,4,2.0,128,16,2,2048,2,12,8,2,12,64,32,8,8,LocalBP
10,1,2.0,128,64,8,512,2,8,8,8,4,64,96,32,8,LocalBP
11,16,3.4,16,128,1,2048,16,8,12,2,8,64,32,32,32,TournamentBP
12,4,3.4,64,128,8,1024,16,2,4,12,8,256,96,8,16,TournamentBP
13,2,1.2,32,32,8,2048,16,4,4,2,12,128,16,16,8,MultiperspectivePerceptron64KB
14,16,1.6,128,128,4,2048,8,12,8,4,12,192,96,8,8,BiModeBP
15,2,3.4,32,128,2,256,8,8,4,12,2,128,64,8,16,LocalBP
16,1,3.0,16,128,2,2048,16,4,8,12,2,64,64,16,32,MultiperspectivePerceptron64KB
17,1,3.8,32,32,4,1024,16,4,2,2,8,256,96,16,32,LocalBP
18,4,1.8,16,64,8,256,8,2,4,12,2,128,128,8,16,TournamentBP
19,4,1.8,32,32,2,1024,4,4,4,12,8,192,96,64,32,MultiperspectivePerceptron64KB
20,2,1.4,128,128,4,512,2,2,2,4,4,128,128,64,32,TAGE
21,2,3.8,32,16,4,256,16,4,4,12,8,128,32,64,64,TournamentBP
22,1,2.4,32,128,1,128,4,4,2,8,12,256,64,8,64,TAGE
23,4,1.8,16,64,4,1024,4,4,12,12,8,64,64,16,16,BiModeBP
24,1,3.2,64,16,8,1024,16,8,2,2,8,32,96,32,64,TAGE_SC_L_64KB
25,1,3.2,16,128,4,2048,4,8,12,4,4,64,16,32,8,TAGE
26,32,1.0,128,128,2,2048,2,4,8,2,4,128,128,8,64,LocalBP
27,8,3.4,64,32,8,2048,16,8,8,4,12,256,32,16,16,LocalBP
28,8,3.8,32,128,1,256,8,4,12,2,12,32,64,8,64,MultiperspectivePerceptron64KB
29,4,4.0,64,128,1,256,16,2,4,2,8,64,96,32,32,MultiperspectivePerceptron64KB
30,8,1.8,64,32,8,256,2,4,8,8,8,64,16,32,64,TAGE_SC_L_64KB
31,1,1.4,32,64,1,512,4,2,2,2,12,32,32,64,8,TAGE_SC_L_64KB
32,32,4.0,32,128,2,1024,2,8,12,4,8,256,128,8,64,LocalBP
33,4,3.2,128,16,4,2048,4,2,2,2,2,64,128,16,8,TAGE_SC_L_64KB
34,32,3.0,32,32,2,128,2,8,12,4,12,128,96,8,16,LocalBP
35,16,3.0,32,64,1,256,16,8,8,4,2,64,32,64,64,MultiperspectivePerceptron64KB
36,8,1.2,16,16,8,2048,8,8,4,12,8,64,64,16,16,LocalBP
37,32,4.0,128,64,4,128,4,4,8,4,2,256,64,32,32,LocalBP
38,4,1.8,128,16,4,256,2,8,2,12,8,32,96,64,64,MultiperspectivePerceptron64KB
39,32,1.4,32,128,1,2048,8,4,4,8,12,192,96,64,32,TAGE
40,4,3.4,128,32,8,1024,16,12,8,2,12,192,32,8,32,BiModeBP
41,32,3.0,16,32,2,1024,8,12,12,4,2,192,128,32,32,MultiperspectivePerceptron64KB
42,16,1.6,32,32,8,1024,8,2,2,2,2,64,128,64,64,TournamentBP
43,4,1.4,128,16,4,128,4,2,12,12,8,256,128,8,8,TournamentBP
44,16,3.0,128,32,1,128,4,2,8,2,2,32,128,64,32,TAGE_SC_L_64KB
45,8,4.0,64,32,8,128,16,8,8,8,8,256,32,32,16,TournamentBP
46,2,2.8,128,32,4,128,16,12,4,12,2,192,96,64,16,TournamentBP
47,8,1.2,64,64,1,512,16,2,4,2,4,128,128,8,64,BiModeBP
48,2,3.2,32,64,8,2048,16,12,2,8,12,32,32,64,16,BiModeBP
49,1,3.6,64,16,8,128,8,4,4,4,4,256,64,8,32,BiModeBP
50,4,1.8,64,32,1,2048,2,2,2,12,12,128,64,64,32,BiModeBP
51,16,2.2,128,16,8,128,2,12,4,8,12,256,96,16,32,MultiperspectivePerceptron64KB
52,8,3.2,32,64,8,2048,8,12,12,8,2,256,16,16,8,TAGE_SC_L_64KB
53,1,3.0,16,128,2,2048,2,8,12,2,8,32,64,64,16,TAGE_SC_L_64KB
54,1,2.2,16,128,1,2048,4,12,12,8,4,32,16,16,32,MultiperspectivePerceptron64KB
55,32,4.0,128,32,4,1024,16,8,4,4,4,256,96,64,8,TAGE_SC_L_64KB
56,16,2.0,128,16,8,256,2,8,4,8,2,64,128,8,32,TournamentBP
57,2,2.6,64,32,4,512,2,8,4,8,8,128,64,64,32,MultiperspectivePerceptron64KB
58,1,1.8,16,16,2,512,8,2,12,4,12,32,128,8,32,TournamentBP
59,8,3.2,32,64,2,1024,4,4,2,2,4,64,32,16,16,TAGE
60,2,3.2,16,128,4,256,8,2,8,8,12,32,96,32,8,TAGE_SC_L_64KB
61,1,1.6,128,64,1,1024,8,4,4,2,8,192,64,32,8,TAGE_SC_L_64KB
62,8,1.0,64,128,2,2048,2,2,4,2,8,64,128,16,16,TAGE_SC_L_64KB
63,4,3.6,32,32,2,256,4,12,8,8,4,32,64,64,64,MultiperspectivePerceptron64KB
64,2,2.0,16,16,4,128,8,4,2,4,2,192,16,8,32,BiModeBP
65,32,3.4,16,64,1,128,4,12,2,12,8,128,64,32,64,TAGE
66,4,1.8,64,16,4,1024,2,4,12,2,12,64,16,32,16,BiModeBP
67,1,4.0,16,16,8,2048,16,12,8,2,2,192,96,8,8,TAGE
68,2,1.4,64,128,1,128,4,4,4,4,8,64,64,32,8,TournamentBP
69,8,1.4,16,32,8,256,4,8,12,2,2,64,96,8,8,LocalBP
70,8,2.6,16,128,1,2048,2,12,8,4,2,32,64,16,64,MultiperspectivePerceptron64KB
71,2,3.0,128,128,1,256,16,2,4,8,12,32,64,16,8,TAGE
72,1,2.6,64,32,1,2048,16,2,8,2,8,256,64,64,32,TAGE
73,8,1.4,128,16,4,1024,8,2,12,12,8,32,96,64,32,TAGE_SC_L_64KB
74,8,1.0,16,64,1,256,8,8,4,8,8,64,96,16,64,TAGE_SC_L_64KB
75,8,1.4,32,64,8,1024,2,12,12,4,2,256,32,8,64,TournamentBP
76,8,3.8,16,32,4,1024,16,8,8,8,2,192,16,8,8,BiModeBP
77,4,4.0,64,128,8,128,16,4,12,12,2,192,64,32,64,TAGE_SC_L_64KB
78,2,1.2,16,32,4,512,8,4,8,2,12,128,96,64,8,TAGE_SC_L_64KB
79,32,3.4,64,64,1,2048,16,8,2,8,8,128,96,8,8,MultiperspectivePerceptron64KB
80,2,3.4,128,128,8,2048,16,8,4,12,4,256,128,8,32,MultiperspectivePerceptron64KB
81,2,3.4,64,16,2,256,16,8,12,12,8,128,32,8,32,TAGE_SC_L_64KB
82,16,3.6,128,32,2,1024,8,12,8,4,8,256,64,64,64,LocalBP
83,1,1.8,16,128,2,1024,4,2,2,4,12,64,32,64,16,LocalBP
84,32,1.6,32,128,1,512,16,2,4,4,12,128,64,64,8,LocalBP
85,1,3.2,32,64,8,128,2,12,2,8,12,64,16,16,64,TournamentBP
86,16,2.8,16,64,8,128,16,2,12,8,4,192,128,32,16,TAGE
87,16,1.4,128,64,1,512,8,2,4,8,2,128,96,64,8,MultiperspectivePerceptron64KB
88,2,1.4,16,16,4,1024,16,2,8,12,2,192,64,16,16,LocalBP
89,32,3.8,128,64,8,2048,16,2,12,12,2,192,16,64,64,MultiperspectivePerceptron64KB
90,2,4.0,64,16,4,2048,2,12,8,2,12,192,128,16,32,BiModeBP
91,1,2.4,64,32,8,1024,16,4,4,2,8,32,32,32,8,LocalBP
92,16,2.6,64,32,4,256,2,4,2,2,4,192,96,8,16,TAGE_SC_L_64KB
93,4,2.4,128,16,2,256,4,4,4,4,4,128,128,32,32,LocalBP
94,2,2.8,16,32,2,2048,8,4,2,4,8,192,96,32,32,MultiperspectivePerceptron64KB
95,32,2.0,128,128,8,256,16,8,4,12,8,192,64,16,8,BiModeBP
96,32,3.4,64,16,2,512,8,2,2,8,12,128,16,16,64,TAGE_SC_L_64KB
97,1,3.6,64,32,2,128,16,12,12,12,8,128,32,64,32,LocalBP
98,1,3.8,32,64,8,2048,4,4,2,12,4,32,16,64,16,BiModeBP
99,16,3.4,64,128,2,512,8,12,2,12,12,32,128,8,8,MultiperspectivePerceptron64KB
100,4,2.6,16,32,1,256,2,12,12,2,2,64,64,16,16,TAGE_SC_L_64KB
101,32,3.2,64,128,2,1024,2,12,2,2,2,32,64,16,64,TAGE
102,16,2.6,32,128,2,1024,2,2,4,8,2,256,64,32,8,TAGE
103,1,2.8,128,64,8,256,2,2,4,2,4,128,128,8,32,TAGE_SC_L_64KB
104,4,2.6,64,32,8,128,2,8,12,8,4,256,16,32,8,LocalBP
105,16,1.0,16,64,2,512,4,8,8,2,4,192,16,32,16,TAGE
106,8,3.8,128,16,1,2048,2,8,8,12,8,64,16,8,16,LocalBP
107,32,3.4,128,32,2,2048,8,4,4,8,8,32,32,8,64,MultiperspectivePerceptron64KB
108,8,3.4,128,64,4,1024,2,4,12,2,4,128,64,8,32,TournamentBP
109,16,2.2,32,16,4,128,8,2,8,8,4,64,64,32,8,LocalBP
110,4,2.4,32,16,2,128,8,12,2,4,12,192,32,16,32,MultiperspectivePerceptron64KB
111,32,3.0,16,16,2,512,16,12,2,4,4,128,16,64,32,BiModeBP
112,1,1.6,64,32,8,2048,2,2,12,8,12,128,96,16,16,TournamentBP
113,1,3.4,128,32,1,512,2,8,8,4,4,256,16,8,8,TAGE_SC_L_64KB
114,32,1.2,32,32,2,2048,16,12,12,4,2,192,16,16,8,MultiperspectivePerceptron64KB
115,1,4.0,64,16,4,1024,2,4,4,4,4,256,96,8,8,TAGE
116,1,2.0,128,32,1,256,2,8,12,2,8,256,16,8,32,TAGE
117,16,3.2,128,32,8,128,2,4,8,4,4,128,96,8,32,TAGE
118,32,2.8,64,16,8,128,8,2,2,12,2,192,32,16,16,MultiperspectivePerceptron64KB
119,32,3.8,128,32,1,1024,4,2,2,12,12,256,64,64,8,TournamentBP
120,16,3.4,16,16,2,512,8,12,2,12,12,128,32,32,32,TAGE_SC_L_64KB
121,32,3.2,16,64,4,256,2,8,8,12,8,256,96,32,32,MultiperspectivePerceptron64KB
122,16,1.4,16,32,1,2048,16,4,4,12,4,32,16,32,64,TAGE_SC_L_64KB
123,32,3.8,32,64,1,256,2,4,8,2,2,32,16,8,32,BiModeBP
124,32,2.0,64,32,1,2048,4,8,8,12,2,32,128,32,16,TAGE_SC_L_64KB
125,8,2.4,64,128,4,1024,4,2,12,12,2,64,96,16,64,TournamentBP
126,8,3.8,16,64,4,256,2,2,8,2,4,192,32,8,16,TAGE_SC_L_64KB
127,16,1.6,64,32,8,2048,2,2,2,12,4,192,96,32,16,TournamentBP
