exp_id,num_cores,cpu_clock_GHz,l1i_kb,l1d_kb,l1_assoc,l2_kb,l2_assoc,fetchWidth,decodeWidth,issueWidth,commitWidth,numROBEntries,numIQEntries,LQEntries,SQEntries,branch_predictor
0,32,1.0,64,64,2,512,4,2,2,12,4,192,32,64,8,MultiperspectivePerceptron64KB
1,2,2.4,64,16,8,2048,4,12,4,4,8,128,96,8,64,TournamentBP
2,1,3.0,128,16,8,256,4,2,2,8,8,32,32,32,32,LocalBP
3,8,3.0,16,128,4,2048,2,8,4,12,4,32,64,64,8,TAGE_SC_L_64KB
4,16,3.2,64,16,2,256,8,12,2,4,4,128,128,16,64,MultiperspectivePerceptron64KB
5,32,3.8,16,64,4,2048,4,8,4,4,8,256,96,64,16,TAGE_SC_L_64KB
6,32,3.8,32,16,4,2048,16,8,12,2,12,192,32,8,16,TAGE_SC_L_64KB
7,8,1.6,64,16,4,1024,4,12,4,12,4,64,16,32,32,TournamentBP
8,16,3.0,16,16,2,2048,2,12,2,8,8,192,96,32,16,TAGE
9,1,2.8,64,64,2,1024,2,12,4,2,8,256,128,32,16,LocalBP
10,16,3.4,128,128,8,2048,8,12,8,8,8,128,16,16,64,TAGE_SC_L_64KB
11,2,2.8,128,16,4,512,2,4,4,12,8,128,64,32,16,LocalBP
12,1,1.8,64,64,1,2048,8,12,12,2,4,64,16,16,64,LocalBP
13,32,3.4,64,32,8,1024,4,8,12,4,8,64,128,32,8,BiModeBP
14,1,3.4,64,64,2,256,8,2,8,8,2,192,32,32,64,LocalBP
15,4,1.6,128,16,8,512,4,4,2,4,12,64,96,32,16,MultiperspectivePerceptron64KB
16,4,2.0,64,128,4,1024,4,2,4,8,4,64,32,8,16,TAGE
17,16,2.6,16,32,2,128,2,12,2,8,4,256,16,64,32,MultiperspectivePerceptron64KB
18,8,4.0,64,64,4,128,16,8,12,4,4,192,128,32,16,BiModeBP
19,16,3.6,16,32,4,1024,4,2,2,2,2,32,16,64,16,BiModeBP
20,32,2.4,128,16,8,2048,16,4,12,4,12,32,32,64,64,MultiperspectivePerceptron64KB
21,4,2.0,16,16,1,1024,4,2,2,4,4,256,128,8,64,LocalBP
22,1,2.8,32,32,1,2048,4,2,12,2,4,256,96,8,16,MultiperspectivePerceptron64KB
23,8,3.4,16,16,4,256,2,2,2,4,12,256,32,32,32,LocalBP
24,4,3.8,64,128,8,256,2,8,12,4,8,32,32,32,8,TAGE
25,32,1.0,64,16,8,1024,8,8,12,2,4,128,128,8,8,MultiperspectivePerceptron64KB
26,2,2.4,128,64,4,512,2,2,2,2,2,32,96,32,8,LocalBP
27,2,2.6,32,64,8,256,8,12,4,12,4,64,32,64,8,BiModeBP
28,16,3.8,128,64,4,1024,2,4,2,4,4,192,96,32,32,TAGE
29,2,3.8,128,32,8,512,2,8,12,2,2,128,64,64,16,MultiperspectivePerceptron64KB
30,2,3.0,128,16,4,2048,16,4,8,4,2,128,16,16,8,LocalBP
31,16,2.6,128,32,4,1024,16,4,2,4,12,64,128,32,8,TAGE
32,4,3.8,16,32,4,2048,16,12,8,4,8,256,16,8,8,BiModeBP
33,2,1.4,128,32,8,512,16,12,2,4,2,128,32,8,32,TournamentBP
34,8,1.0,16,16,1,256,4,4,8,2,4,64,64,64,32,TAGE
35,2,1.6,128,64,1,2048,2,12,8,4,2,128,64,8,32,LocalBP
36,8,4.0,64,16,8,512,2,12,2,2,4,192,128,8,64,TAGE
37,8,2.6,32,128,1,2048,8,4,2,12,8,32,16,32,32,TournamentBP
38,4,3.6,16,32,1,512,8,8,12,2,4,128,16,32,8,LocalBP
39,8,3.0,32,16,8,2048,4,2,2,4,12,32,32,64,64,TournamentBP
40,8,3.8,32,64,1,2048,4,4,2,2,2,64,128,8,32,MultiperspectivePerceptron64KB
41,2,1.4,64,64,8,128,4,12,4,8,2,64,16,32,32,TAGE_SC_L_64KB
42,4,4.0,32,32,4,128,4,12,12,4,8,256,64,8,16,TournamentBP
43,16,3.4,64,128,1,256,4,4,8,2,8,128,128,16,8,LocalBP
44,4,3.6,16,16,4,2048,8,8,12,4,2,192,64,64,64,MultiperspectivePerceptron64KB
45,4,2.0,32,32,8,256,2,2,12,4,2,192,64,16,64,TournamentBP
46,8,1.4,32,64,2,512,8,2,4,8,2,128,32,64,64,TournamentBP
47,32,2.6,64,32,4,2048,8,12,12,2,8,256,64,16,16,MultiperspectivePerceptron64KB
48,4,4.0,32,64,2,256,8,12,12,8,12,192,128,32,16,TAGE
49,2,1.2,16,32,1,1024,2,4,8,8,12,128,64,32,64,TAGE_SC_L_64KB
50,1,1.6,16,128,2,2048,8,4,4,8,2,256,96,64,32,LocalBP
51,16,2.6,128,128,4,512,8,2,2,12,2,32,64,32,8,TAGE_SC_L_64KB
52,4,2.6,16,16,1,2048,2,12,4,4,12,64,96,32,32,TournamentBP
53,16,3.2,128,64,2,128,8,4,4,12,8,64,64,64,16,TournamentBP
54,2,2.4,32,64,2,128,8,4,2,8,4,256,128,8,8,TournamentBP
55,2,2.4,16,64,4,512,4,8,8,2,2,192,32,64,64,LocalBP
56,16,4.0,64,16,2,128,16,2,4,2,2,64,32,64,64,MultiperspectivePerceptron64KB
57,2,3.6,64,128,8,256,4,8,8,12,8,64,16,8,8,TAGE
58,1,3.2,128,16,8,2048,16,12,8,8,4,128,128,16,16,TAGE_SC_L_64KB
59,1,1.6,16,128,1,512,8,2,8,2,2,128,16,64,8,BiModeBP
60,4,1.0,32,128,4,2048,2,4,12,4,8,192,96,16,32,BiModeBP
61,2,2.6,32,32,2,128,2,2,4,2,8,32,64,8,64,MultiperspectivePerceptron64KB
62,8,3.4,64,32,8,128,2,4,12,2,4,192,64,8,16,TournamentBP
63,8,2.8,32,64,8,1024,2,2,2,12,8,32,96,64,32,MultiperspectivePerceptron64KB
64,8,3.2,16,16,1,1024,8,12,2,2,4,192,64,16,16,LocalBP
65,16,1.2,32,16,2,128,2,2,2,12,12,256,16,64,8,MultiperspectivePerceptron64KB
66,8,2.0,16,64,4,2048,2,12,8,4,12,32,64,16,8,TAGE
67,2,1.8,16,16,2,2048,16,4,2,8,12,128,32,32,16,TournamentBP
68,32,4.0,16,16,4,512,4,12,2,2,12,256,96,64,16,TournamentBP
69,1,3.2,128,128,8,2048,2,2,2,12,4,256,96,8,16,TournamentBP
70,1,3.0,128,16,1,128,16,8,12,2,12,128,96,16,16,BiModeBP
71,16,3.4,128,64,8,256,16,4,12,2,8,128,64,32,16,TAGE
72,16,1.2,64,32,4,1024,2,4,12,8,8,192,16,16,16,TournamentBP
73,32,4.0,128,16,1,512,4,2,2,8,2,128,64,16,16,MultiperspectivePerceptron64KB
74,16,4.0,64,128,1,512,16,4,2,8,4,32,96,64,64,TAGE_SC_L_64KB
75,32,4.0,64,16,1,512,16,4,12,8,8,64,16,64,64,MultiperspectivePerceptron64KB
76,8,3.4,128,32,2,256,2,4,12,4,8,64,32,16,8,BiModeBP
77,16,3.4,16,64,4,2048,4,12,2,8,2,128,32,64,32,LocalBP
78,16,1.0,128,64,8,512,4,8,12,12,4,32,16,16,16,MultiperspectivePerceptron64KB
79,8,2.6,64,32,8,128,16,12,4,8,8,128,16,64,16,LocalBP
80,32,2.2,64,16,4,1024,4,8,4,8,4,192,96,32,64,MultiperspectivePerceptron64KB
81,32,3.6,32,16,8,128,4,8,4,2,2,256,32,8,16,LocalBP
82,4,1.4,128,32,8,1024,8,4,12,4,8,64,32,64,8,BiModeBP
83,2,3.4,16,128,2,1024,4,8,2,8,8,256,96,8,8,LocalBP
84,8,2.0,32,128,4,128,2,4,12,4,12,64,32,32,64,TAGE
85,32,4.0,64,32,1,2048,4,4,12,8,8,64,96,8,16,MultiperspectivePerceptron64KB
86,4,1.8,64,32,8,2048,4,12,2,8,4,32,128,64,32,TournamentBP
87,32,2.0,128,32,1,256,4,12,2,12,8,64,96,64,32,TournamentBP
88,8,2.6,64,16,2,128,16,2,2,12,2,64,96,8,16,MultiperspectivePerceptron64KB
89,1,1.0,128,16,4,512,2,4,12,8,4,256,32,16,32,TAGE
90,1,2.4,64,32,2,1024,16,8,8,8,2,192,128,8,16,TAGE
91,4,2.0,16,32,1,2048,8,2,4,12,8,32,16,8,64,TournamentBP
92,4,1.2,64,64,4,256,4,8,4,2,8,256,32,64,64,TAGE
93,2,2.6,32,16,8,128,16,8,2,8,8,32,32,32,32,BiModeBP
94,32,1.0,32,128,4,512,2,4,2,8,4,32,64,64,8,LocalBP
95,4,3.0,32,64,1,2048,16,8,2,8,2,256,64,64,64,TAGE
96,16,1.2,16,32,1,256,16,4,4,4,8,256,32,8,32,TournamentBP
97,2,3.0,64,16,1,256,8,8,8,4,12,192,64,16,16,TAGE_SC_L_64KB
98,16,3.2,128,64,1,2048,2,12,8,12,12,256,16,8,8,TAGE
99,32,2.4,32,16,8,2048,8,8,12,12,8,192,128,32,64,TAGE_SC_L_64KB
100,4,1.2,16,64,8,512,8,8,12,8,8,64,32,16,16,MultiperspectivePerceptron64KB
101,2,1.0,128,32,2,2048,16,2,4,2,8,64,96,32,32,LocalBP
102,1,3.8,64,128,1,1024,4,12,4,12,8,64,96,16,8,TAGE_SC_L_64KB
103,2,3.4,32,32,2,1024,2,12,12,8,4,128,96,8,8,TAGE
104,4,1.8,32,128,2,128,2,12,2,2,4,192,96,8,16,LocalBP
105,1,2.0,32,16,4,512,2,2,12,4,8,128,16,32,32,TAGE
106,4,3.2,64,16,4,1024,2,4,8,8,2,32,16,32,64,TAGE
107,4,1.4,128,128,1,1024,8,12,12,4,4,256,32,16,64,TournamentBP
108,2,1.2,128,64,4,512,8,2,8,4,4,32,32,8,32,TournamentBP
109,8,2.8,64,16,2,256,8,2,8,2,2,192,32,8,32,TAGE_SC_L_64KB
110,4,3.0,32,32,8,256,8,2,4,2,4,256,32,8,16,BiModeBP
111,32,2.0,16,32,1,512,4,2,12,2,2,256,16,64,8,TAGE
112,4,3.8,128,64,2,2048,8,8,12,2,12,192,128,16,32,BiModeBP
113,4,4.0,16,32,1,512,16,4,12,2,12,128,16,32,32,LocalBP
114,4,1.2,32,128,8,512,4,4,8,4,2,192,32,16,16,MultiperspectivePerceptron64KB
115,16,3.8,128,128,4,512,16,8,2,8,4,32,128,64,16,BiModeBP
116,1,3.2,128,128,8,2048,16,12,8,12,8,192,16,64,32,TournamentBP
117,32,1.2,32,128,8,2048,4,4,4,12,4,256,16,16,64,LocalBP
118,8,2.8,128,32,4,128,8,8,4,4,2,128,96,64,16,BiModeBP
119,2,3.8,64,128,2,2048,2,2,8,12,2,256,64,32,64,TAGE
120,32,2.4,64,16,8,512,4,4,2,12,4,256,32,64,32,TAGE_SC_L_64KB
121,2,3.2,32,128,2,512,8,4,4,12,2,32,64,64,8,BiModeBP
122,2,2.8,64,16,4,256,4,4,4,12,12,128,32,64,64,TAGE
123,2,3.4,64,64,8,1024,2,4,2,2,2,256,16,64,16,TournamentBP
124,1,1.2,64,128,4,256,16,12,8,12,8,64,16,64,8,LocalBP
125,16,3.8,32,16,8,128,2,2,2,8,4,192,32,32,32,TAGE_SC_L_64KB
126,16,1.4,128,128,4,256,4,4,2,2,2,192,32,32,16,MultiperspectivePerceptron64KB
127,32,3.6,128,64,1,128,16,4,8,2,2,32,64,64,16,BiModeBP
128,1,2.2,16,16,4,128,4,8,12,12,8,128,96,64,64,LocalBP
129,4,4.0,32,16,8,256,8,8,12,2,8,192,64,8,32,LocalBP
130,8,2.6,128,64,2,512,16,8,12,4,8,32,32,32,16,TAGE
131,16,1.4,32,16,1,256,4,4,8,2,4,64,96,16,16,MultiperspectivePerceptron64KB
132,4,3.8,32,128,2,128,8,8,4,8,2,32,16,8,16,LocalBP
133,32,2.0,16,64,2,512,4,2,8,4,12,32,16,16,64,BiModeBP
134,8,2.4,64,128,1,1024,4,2,8,2,4,128,16,8,64,TAGE_SC_L_64KB
135,4,1.0,128,16,8,2048,16,8,8,2,8,128,128,64,32,TAGE
136,4,3.0,64,128,8,1024,2,12,2,4,4,192,16,8,32,LocalBP
137,32,2.0,128,16,4,256,16,4,8,8,12,64,32,32,64,TAGE
138,16,3.6,128,32,8,2048,16,4,12,8,8,32,32,16,16,LocalBP
139,16,1.0,64,64,8,512,4,12,4,12,2,256,16,8,64,TAGE
140,8,1.0,16,32,8,512,16,2,2,4,4,32,64,8,8,TournamentBP
141,32,3.6,128,128,8,256,4,12,2,8,2,64,128,64,64,TournamentBP
142,2,4.0,128,32,1,128,2,4,8,2,2,128,64,64,16,TAGE
143,32,2.4,64,16,8,2048,16,12,8,2,12,64,64,32,16,LocalBP
144,1,2.2,32,32,2,1024,4,12,4,4,8,256,16,8,32,BiModeBP
145,32,1.6,32,32,1,1024,2,2,2,8,4,192,128,8,8,TournamentBP
146,16,1.2,64,128,4,2048,2,2,4,4,8,256,32,16,64,TournamentBP
147,1,1.4,32,32,4,256,16,8,8,2,8,128,96,32,16,TAGE
148,2,1.2,128,128,2,1024,8,8,2,4,2,64,64,8,32,TAGE_SC_L_64KB
149,4,2.4,128,64,2,512,2,2,4,8,8,64,96,16,8,TAGE_SC_L_64KB
150,2,1.8,16,128,1,128,16,12,8,8,12,128,64,16,32,LocalBP
151,8,3.6,64,32,8,128,16,8,12,2,12,192,16,8,32,LocalBP
152,1,2.8,64,16,8,2048,4,8,2,2,8,256,32,8,16,MultiperspectivePerceptron64KB
153,32,1.4,32,64,1,128,4,8,8,12,8,192,64,8,64,TournamentBP
154,2,1.8,128,16,4,128,4,12,2,4,8,192,96,8,32,MultiperspectivePerceptron64KB
155,8,1.2,64,64,4,128,2,12,2,8,4,192,96,64,32,MultiperspectivePerceptron64KB
156,2,2.0,16,128,1,1024,16,8,4,12,2,64,64,32,32,LocalBP
157,8,2.4,16,128,1,128,4,2,2,4,12,64,64,32,64,LocalBP
158,1,2.6,128,16,2,1024,2,12,2,2,12,64,64,8,8,MultiperspectivePerceptron64KB
159,1,4.0,32,32,1,2048,2,4,8,12,8,32,96,64,8,TAGE_SC_L_64KB
160,16,2.2,32,32,8,512,4,12,4,8,8,64,128,8,64,TAGE
161,16,3.8,16,32,4,256,16,8,4,12,12,32,32,16,32,LocalBP
162,1,1.6,64,32,4,128,16,12,12,8,8,32,128,8,16,LocalBP
163,16,3.2,64,64,8,2048,4,2,8,4,2,256,64,32,16,LocalBP
164,16,1.4,128,128,8,256,2,4,12,2,4,256,96,32,8,TAGE_SC_L_64KB
165,32,2.0,32,32,4,256,4,2,4,8,8,32,16,16,8,BiModeBP
166,8,2.4,128,32,8,128,16,4,12,12,4,128,96,32,64,BiModeBP
167,1,1.2,16,16,4,2048,8,2,2,8,12,128,96,64,64,MultiperspectivePerceptron64KB
168,16,1.8,128,128,4,1024,4,4,8,2,8,128,128,8,16,TAGE
169,32,3.6,128,16,8,256,16,12,8,8,12,128,16,64,32,TAGE
170,2,1.4,16,128,1,1024,2,4,2,2,8,128,128,8,64,TAGE
171,8,1.8,32,16,1,512,16,12,4,4,4,256,16,16,16,BiModeBP
172,2,3.8,64,16,4,256,4,2,12,2,4,192,128,32,64,BiModeBP
173,8,3.2,16,64,4,512,8,8,2,2,2,256,96,16,32,MultiperspectivePerceptron64KB
174,4,2.8,128,32,2,1024,4,12,4,8,2,192,32,64,16,BiModeBP
175,1,2.0,16,32,8,2048,2,8,2,8,4,32,128,32,16,TAGE
176,1,1.8,32,16,2,2048,8,12,2,8,12,64,128,64,8,LocalBP
177,8,4.0,128,16,1,2048,2,2,4,12,2,32,16,16,8,TAGE_SC_L_64KB
178,32,4.0,32,16,2,2048,16,2,8,8,8,32,64,8,64,TAGE
179,8,3.0,32,16,2,512,16,12,12,8,2,64,96,32,16,MultiperspectivePerceptron64KB
180,32,2.4,64,64,8,1024,4,4,8,2,12,32,64,64,8,MultiperspectivePerceptron64KB
181,4,3.8,32,32,1,256,8,12,12,2,4,192,16,32,32,TournamentBP
182,32,4.0,32,128,8,512,2,8,8,8,4,256,32,64,8,MultiperspectivePerceptron64KB
183,32,2.8,16,32,1,1024,4,12,12,2,4,192,64,64,8,BiModeBP
184,32,2.0,128,128,2,128,8,4,8,4,12,192,64,8,32,TAGE
185,16,2.2,64,32,1,256,16,12,2,8,2,64,128,64,64,LocalBP
186,4,3.0,32,32,1,128,16,2,8,8,12,192,16,8,64,BiModeBP
187,16,2.8,32,64,4,256,16,2,12,12,2,192,64,32,16,LocalBP
188,16,3.6,64,16,4,512,4,2,2,8,4,64,32,32,8,TAGE
189,32,3.4,16,32,4,1024,4,4,2,2,12,64,16,64,8,MultiperspectivePerceptron64KB
190,2,3.4,128,128,2,512,8,2,2,12,8,128,128,16,8,TAGE
191,4,1.4,16,16,2,512,8,8,8,8,12,128,32,32,64,TAGE
192,8,3.0,16,16,2,2048,8,12,12,8,2,192,96,32,8,TAGE
193,16,2.0,32,128,4,512,8,4,4,12,2,64,16,8,8,LocalBP
194,1,3.2,64,64,8,128,8,4,2,4,4,128,32,16,8,TournamentBP
195,8,1.4,64,128,8,512,4,12,12,12,2,64,32,64,64,TAGE_SC_L_64KB
196,32,1.6,128,16,8,512,16,8,4,4,2,128,64,16,64,TAGE_SC_L_64KB
197,2,3.2,64,64,2,2048,8,4,12,12,8,256,32,16,8,TAGE
198,2,1.4,128,32,4,2048,4,12,8,4,8,32,32,8,16,TournamentBP
199,32,1.8,64,64,2,256,16,12,12,4,12,192,64,8,32,MultiperspectivePerceptron64KB
200,1,3.8,16,32,2,2048,8,4,2,2,8,192,16,8,32,MultiperspectivePerceptron64KB
201,4,1.6,32,16,2,512,4,4,8,2,12,256,64,32,32,TAGE
202,2,2.0,64,64,2,128,2,4,12,4,8,256,64,64,32,TournamentBP
203,1,1.2,128,16,1,512,16,2,4,12,8,256,128,16,16,TAGE_SC_L_64KB
204,2,3.6,16,16,2,128,4,2,4,8,4,128,64,64,16,LocalBP
205,1,3.0,16,128,4,1024,8,4,8,2,2,192,64,32,16,BiModeBP
206,16,1.0,64,16,8,1024,2,4,8,4,4,32,128,16,8,BiModeBP
207,1,2.6,128,32,2,128,16,4,2,4,2,256,128,16,16,TAGE_SC_L_64KB
208,8,3.8,128,16,2,1024,2,4,12,12,12,128,16,16,32,TAGE
209,2,2.0,16,64,1,128,16,2,2,4,4,32,64,64,32,TournamentBP
210,8,2.0,128,16,2,256,8,4,12,8,8,192,128,16,32,TAGE
211,8,1.6,32,128,4,2048,2,12,2,4,4,256,96,8,32,TAGE_SC_L_64KB
212,8,2.0,16,32,4,256,16,2,4,2,4,128,64,8,64,TAGE_SC_L_64KB
213,1,1.0,64,16,2,1024,2,8,4,12,8,64,32,64,16,LocalBP
214,8,3.8,128,64,1,128,16,12,4,8,4,64,128,32,64,TAGE
215,16,3.6,128,64,1,2048,4,2,12,4,12,64,16,16,16,TAGE_SC_L_64KB
216,8,2.8,64,128,1,512,4,8,2,4,4,64,128,32,32,LocalBP
217,4,3.0,64,32,8,2048,2,12,2,8,2,32,128,8,16,LocalBP
218,4,3.8,16,32,1,512,2,8,12,4,8,256,128,16,8,MultiperspectivePerceptron64KB
219,1,3.0,32,64,8,128,2,8,8,8,4,128,96,64,8,BiModeBP
220,2,1.2,64,64,8,2048,2,8,2,2,2,32,96,16,64,TournamentBP
221,8,3.2,64,16,2,256,2,2,2,12,12,32,16,64,16,TAGE
222,32,1.6,128,64,8,2048,16,4,12,2,2,192,64,8,16,MultiperspectivePerceptron64KB
223,1,3.6,16,16,8,256,2,8,12,12,4,64,64,16,16,TAGE
224,2,1.4,128,64,1,128,16,2,8,4,8,192,16,64,8,BiModeBP
225,4,1.0,16,16,2,512,16,12,8,2,12,256,64,64,8,LocalBP
226,32,2.2,64,128,4,1024,16,4,8,8,2,128,16,8,16,BiModeBP
227,16,3.4,16,128,4,256,8,2,8,2,4,192,64,16,32,BiModeBP
228,1,1.6,64,32,2,256,4,4,8,2,8,64,16,16,8,LocalBP
229,8,3.4,128,128,1,1024,2,12,2,12,2,32,128,32,64,MultiperspectivePerceptron64KB
230,16,1.2,32,64,4,128,8,2,12,8,12,192,128,16,16,BiModeBP
231,2,2.8,16,128,4,2048,16,4,12,8,4,32,16,32,32,BiModeBP
232,2,2.8,128,16,4,256,8,2,4,2,8,128,32,32,64,LocalBP
233,4,2.2,32,16,2,2048,8,12,12,8,12,32,16,64,8,TournamentBP
234,1,2.2,16,128,2,128,8,2,2,8,8,256,32,8,64,LocalBP
235,8,1.2,64,128,4,128,4,8,8,8,8,128,128,8,32,TAGE
236,4,1.4,128,64,8,128,8,8,12,4,12,256,32,32,32,MultiperspectivePerceptron64KB
237,2,3.6,64,128,4,128,4,2,2,8,4,256,64,16,64,LocalBP
238,32,1.4,128,16,4,512,8,8,12,2,4,32,64,64,32,TAGE_SC_L_64KB
239,16,2.8,64,128,2,512,8,2,8,4,4,256,96,16,32,MultiperspectivePerceptron64KB
240,32,1.4,16,128,2,128,2,4,2,2,2,32,32,16,16,LocalBP
241,2,1.2,32,128,2,2048,8,12,2,8,12,32,96,64,16,TournamentBP
242,32,2.6,16,16,4,512,16,4,8,2,4,256,64,64,16,BiModeBP
243,8,1.8,32,128,8,512,8,8,12,2,2,64,96,64,8,TournamentBP
244,32,1.8,16,64,2,1024,4,12,4,2,2,256,96,8,32,BiModeBP
245,32,1.0,16,64,1,256,16,2,12,12,2,192,96,16,8,TAGE
246,4,2.2,128,32,4,1024,8,2,8,2,12,256,16,8,16,BiModeBP
247,8,1.2,16,32,4,128,16,12,8,12,8,32,32,16,8,TAGE_SC_L_64KB
248,1,2.8,32,128,2,128,16,4,2,8,4,128,64,8,32,MultiperspectivePerceptron64KB
249,32,2.0,128,32,4,2048,16,2,8,12,2,64,96,64,16,TAGE_SC_L_64KB
250,8,3.0,16,32,4,128,2,2,4,12,2,32,64,8,8,LocalBP
251,2,2.2,16,16,8,128,8,2,8,4,12,32,96,64,8,MultiperspectivePerceptron64KB
252,4,1.2,16,128,4,2048,4,12,4,2,12,256,16,8,32,TAGE_SC_L_64KB
253,4,1.4,32,16,8,2048,16,4,2,12,2,32,128,32,64,TAGE_SC_L_64KB
254,2,3.4,64,16,4,2048,4,4,12,8,2,192,16,8,16,TAGE_SC_L_64KB
255,16,1.0,32,64,2,512,8,8,8,4,8,64,64,16,64,BiModeBP
256,1,3.4,16,128,8,128,2,4,8,12,12,32,32,64,8,TAGE_SC_L_64KB
257,2,3.0,128,16,8,128,4,8,2,2,2,32,16,16,16,TAGE
