exp_id,num_cores,cpu_clock_GHz,l1i_kb,l1d_kb,l1_assoc,l2_kb,l2_assoc,fetchWidth,decodeWidth,issueWidth,commitWidth,numROBEntries,numIQEntries,LQEntries,SQEntries,branch_predictor,Area,Peak Power,Total Leakage,Peak Dynamic,Subthreshold Leakage,Gate Leakage,Runtime Dynamic,ipc,branch_misprediction_rate,icache_miss_rate,dcache_read_miss_rate,dcache_write_miss_rate
0,1,3.4,16,32,1,128,16,2,8,2,4,32,32,64,8,TAGE,104.1838,84.1828,16.289,63.8925,15.3246,1.1498,8.0597,0.6265,0.0563,0.0112,0.0185,0.0104
1,1,1.4,128,64,2,512,4,8,2,12,8,256,128,32,32,LocalBP,114.8473,76.3575,18.2882,54.4357,16.9324,1.3149,10.3666,0.8389,0.0812,0.0086,0.0173,0.0102
2,1,3.2,64,16,8,512,4,8,2,2,2,128,96,32,32,TournamentBP,79.3346,65.2464,16.7377,41.6266,15.6093,1.1444,7.6594,0.7168,0.0675,0.009,0.1015,0.0106
3,1,2.8,64,16,1,2048,8,12,4,2,4,128,96,64,16,MultiperspectivePerceptron64KB,110.7148,66.0129,18.2379,41.8925,17.206,1.171,7.5061,0.6753,0.1243,0.0066,0.0931,0.0106
4,1,4,128,16,2,1024,2,12,8,8,12,192,96,64,64,MultiperspectivePerceptron64KB,140.6207,155.988,18.3157,132.4366,17.3131,1.2794,24.2688,0.7964,0.1292,0.0075,0.1036,0.0106
5,1,3.8,128,128,8,128,2,2,12,12,8,256,64,64,64,TAGE,188.9097,250.259,18.2505,227.3455,17.1693,1.3431,26.2389,0.6783,0.0562,0.0099,0.0154,0.01
6,1,1,16,32,2,2048,16,2,8,2,12,64,16,64,8,TournamentBP,127.189,41.9369,18.4704,22.9482,17.3951,1.1831,3.3696,0.7726,0.0676,0.0112,0.0192,0.0104
7,1,2,32,32,8,1024,2,8,8,4,8,128,32,8,32,MultiperspectivePerceptron64KB,127.1427,65.8738,17.5816,47.4128,16.6507,1.2026,8.6889,0.9055,0.1155,0.0083,0.0226,0.0104
8,1,4,16,16,4,256,8,8,4,4,12,192,64,64,16,MultiperspectivePerceptron64KB,89.1783,91.5681,16.6206,68.2637,15.594,1.1828,14.7666,0.7725,0.1229,0.009,0.1011,0.0106
9,1,2,128,16,2,2048,2,12,8,2,12,64,32,8,8,LocalBP,121.239,62.3707,18.5087,39.5983,17.3338,1.1864,6.3764,0.7203,0.081,0.007,0.0895,0.0106
10,1,2,128,64,8,512,2,8,8,8,4,64,96,32,8,LocalBP,114.635,84.0755,17.7864,62.182,16.545,1.2552,12.01,0.9454,0.081,0.0087,0.0138,0.0102
11,1,3.4,16,128,1,2048,16,8,12,2,8,64,32,32,32,TournamentBP,171.513,135.212,18.8817,111.4024,17.8622,1.2047,11.6497,0.7131,0.0675,0.0092,0.0133,0.0101
12,1,3.4,64,128,8,1024,16,2,4,12,8,256,96,8,16,TournamentBP,126.763,162.746,18.9701,136.0637,17.6884,1.3269,21.2161,0.6715,0.0676,0.0099,0.0145,0.0101
13,1,1.2,32,32,8,2048,16,4,4,2,12,128,16,16,8,MultiperspectivePerceptron64KB,111.0588,38.9932,18.211,18.9601,17.1787,1.1714,3.6147,0.7723,0.1096,0.0084,0.0198,0.0104
14,1,1.6,128,128,4,2048,8,12,8,4,12,192,96,8,8,BiModeBP,130.044,61.678,19.1313,39.3566,17.932,1.2286,8.0323,0.9763,0.0727,0.0087,0.0141,0.0101
15,1,3.4,32,128,2,256,8,8,4,12,2,128,64,8,16,LocalBP,112.2982,148.446,17.9318,123.0035,16.6137,1.306,21.2149,0.7408,0.0807,0.0093,0.0149,0.0101
16,1,3,16,128,2,2048,16,4,8,12,2,64,64,16,32,MultiperspectivePerceptron64KB,172.1697,157.006,19.7435,133.4466,18.6712,1.3399,19.3976,0.7488,0.123,0.0098,0.014,0.01
17,1,3.8,32,32,4,1024,16,4,2,2,8,256,96,16,32,LocalBP,84.1114,75.6928,17.1979,50.994,16.0292,1.1482,8.9707,0.6833,0.0812,0.0094,0.0268,0.0104
18,1,1.8,16,64,8,256,8,2,4,12,2,128,128,8,16,TournamentBP,113.551,92.5712,17.8688,70.5961,16.6041,1.304,11.5806,0.7513,0.0677,0.0112,0.0148,0.0102
19,1,1.8,32,32,2,1024,4,4,4,12,8,192,96,64,32,MultiperspectivePerceptron64KB,126.2548,93.4496,18.588,71.1931,17.4022,1.3195,13.7463,0.9415,0.1193,0.0092,0.0262,0.0104
20,1,1.4,128,128,4,512,2,2,2,4,4,128,128,64,32,TAGE,86.4797,42.4867,17.2621,22.2904,16.1174,1.1817,4.9889,0.7988,0.0563,0.0096,0.0153,0.01
21,1,3.8,32,16,4,256,16,4,4,12,8,128,32,64,64,TournamentBP,111.704,162.576,17.8203,136.6315,16.5617,1.3085,24.135,0.7933,0.0675,0.0106,0.1013,0.0106
22,1,2.4,32,128,1,128,4,4,2,8,12,256,64,8,64,TAGE,90.9756,79.9974,17.2025,57.4186,15.9962,1.2416,12.1965,0.7851,0.0563,0.0101,0.0147,0.0101
23,1,1.8,16,64,4,1024,4,4,12,12,8,64,64,16,16,BiModeBP,173.6163,131.059,19.0136,109.0094,17.7357,1.341,14.6715,0.9656,0.0729,0.0119,0.0131,0.0102
24,1,3.2,64,16,8,1024,16,8,2,2,8,32,96,32,64,TAGE_SC_L_64KB,84.7879,67.2218,17.2484,43.0294,16.1446,1.1551,7.4428,0.6574,0.055,0.009,0.0703,0.0106
25,1,3.2,16,128,4,2048,4,8,12,4,4,64,16,32,8,TAGE,183.4347,128.556,18.804,107.4703,17.8485,1.2233,13.6754,0.8242,0.0564,0.0102,0.0107,0.01
26,1,1,128,128,2,2048,2,4,8,2,4,128,128,8,64,LocalBP,123.316,40.6598,18.7028,20.3534,17.5317,1.1817,3.648,0.8182,0.081,0.008,0.0152,0.0101
27,1,3.4,64,32,8,2048,16,8,8,4,12,256,32,16,16,LocalBP,125.065,102.403,18.6168,76.7541,17.4275,1.2095,14.4475,0.8697,0.0809,0.0091,0.0244,0.0104
28,1,3.8,32,128,1,256,8,4,12,2,12,32,64,8,64,MultiperspectivePerceptron64KB,175.3873,132.716,16.9062,115.4314,16.1359,1.1876,12.2768,0.6505,0.1046,0.0083,0.0077,0.0101
29,1,4,64,128,1,256,16,2,4,2,8,64,96,32,32,MultiperspectivePerceptron64KB,88.6046,80.7488,16.6998,57.3931,15.7,1.1563,9.0107,0.6222,0.1,0.0093,0.0133,0.0101
30,1,1.8,64,32,8,256,2,4,8,8,8,64,16,32,64,TAGE_SC_L_64KB,121.7345,74.3751,17.3175,55.8269,16.2664,1.2528,10.1152,0.9424,0.055,0.0101,0.0201,0.0104
31,1,1.4,32,64,1,512,4,2,2,2,12,32,32,64,8,TAGE_SC_L_64KB,81.3277,38.3643,16.7346,18.8357,15.638,1.1492,3.7349,0.7582,0.0552,0.0101,0.01,0.0102
32,1,4,32,128,2,1024,2,8,12,4,8,256,128,8,64,LocalBP,145.8851,159.159,17.9562,132.8435,16.7932,1.2127,18.9103,0.7988,0.0811,0.0094,0.0149,0.01
33,1,3.2,128,16,4,2048,4,2,2,2,2,64,128,16,8,TAGE_SC_L_64KB,102.017,67.5853,18.2452,42.6603,17.1401,1.1589,6.7956,0.6451,0.0554,0.0098,0.0878,0.0106
34,1,3,32,32,2,128,2,8,12,4,12,128,96,8,16,LocalBP,131.2011,119.736,16.7494,98.1492,15.61,1.1977,14.3757,0.8484,0.0811,0.0093,0.0246,0.0104
35,1,3,32,64,1,256,16,8,8,4,2,64,32,64,64,MultiperspectivePerceptron64KB,118.5707,86.6626,16.8117,66.7813,15.8965,1.1902,10.9306,0.7566,0.1283,0.0079,0.0136,0.0102
36,1,1.2,16,16,8,2048,8,8,4,12,8,64,64,16,16,LocalBP,133.9272,67.0113,19.4422,44.4463,18.0908,1.3219,9.0291,0.9545,0.0811,0.0101,0.0992,0.0106
37,1,4,128,64,4,128,4,4,8,4,2,256,64,32,32,LocalBP,98.4237,109.325,16.8186,85.1872,15.6644,1.183,13.9696,0.7237,0.0808,0.0098,0.0171,0.0102
38,1,1.8,128,16,4,256,2,8,2,12,8,32,96,64,64,MultiperspectivePerceptron64KB,106.8864,86.6083,17.8804,64.5408,16.6416,1.3118,11.2235,0.7069,0.1096,0.0076,0.0632,0.0106
39,1,1.4,32,128,1,2048,8,4,4,8,12,192,96,64,32,TAGE,125.4385,60.0322,19.1857,37.8783,17.9878,1.2685,8.7589,1.0202,0.0561,0.0104,0.0157,0.01
40,1,3.4,128,32,8,1024,16,12,8,2,12,192,32,8,32,BiModeBP,108.76,93.703,17.7326,69.5608,16.5958,1.1834,10.2743,0.702,0.0728,0.008,0.0247,0.0104
41,1,3,16,32,2,1024,8,12,12,4,2,192,128,32,32,MultiperspectivePerceptron64KB,184.6183,121.42,17.6686,105.0117,16.8686,1.2146,13.9522,0.7765,0.126,0.0087,0.0254,0.0103
42,1,1.6,32,32,8,1024,8,2,2,2,2,64,128,64,64,TournamentBP,83.8745,42.2763,17.2479,21.5924,16.1159,1.1462,4.0311,0.7542,0.0675,0.0101,0.0225,0.0104
43,1,1.4,128,16,4,128,4,2,12,12,8,256,128,8,8,TournamentBP,175.768,111.696,18.257,93.6424,17.0873,1.3414,10.9308,0.7439,0.0676,0.0096,0.0846,0.0106
44,1,3,128,32,1,128,4,2,8,2,2,32,128,64,32,TAGE_SC_L_64KB,107.1194,77.7647,16.5256,57.5277,15.5754,1.1575,7.6138,0.6684,0.0551,0.0097,0.0185,0.0104
45,1,4,64,32,8,128,16,8,8,8,8,256,32,32,16,TournamentBP,115.254,152.513,17.3599,128.042,16.2246,1.2572,22.5155,0.8418,0.0674,0.0099,0.0251,0.0104
46,1,2.8,128,32,4,128,16,12,4,12,2,192,96,64,16,TournamentBP,112.054,132.316,17.9086,107.6792,16.6337,1.3148,19.4016,0.813,0.0675,0.0085,0.0263,0.0103
47,1,1.2,64,64,1,512,16,2,4,2,4,128,128,8,64,BiModeBP,85.9545,36.9687,16.8919,17.7045,15.7447,1.1491,3.4675,0.7715,0.0729,0.01,0.015,0.0102
48,1,3.2,32,64,8,2048,16,12,2,8,12,32,32,64,16,BiModeBP,115.0741,100.381,19.039,73.9649,17.7553,1.2624,14.2992,0.715,0.073,0.0104,0.0099,0.0102
49,1,3.6,64,16,8,128,8,4,4,4,4,256,64,8,32,BiModeBP,82.1565,82.7081,16.5594,59.414,15.4007,1.1705,11.9601,0.7501,0.0729,0.011,0.0891,0.0106
50,1,1.8,64,32,1,2048,2,2,2,12,12,128,64,64,32,BiModeBP,131.3441,89.7828,19.6074,65.1567,18.2457,1.325,11.4344,0.7642,0.0729,0.0102,0.0245,0.0104
51,1,2.2,128,16,8,128,2,12,4,8,12,256,96,16,32,MultiperspectivePerceptron64KB,99.7317,79.2143,17.2242,57.9477,16.1133,1.2543,13.48,0.8882,0.133,0.007,0.0954,0.0106
52,1,3.2,32,64,8,2048,8,12,12,8,2,256,16,16,8,TAGE_SC_L_64KB,198.2665,161.879,19.2147,140.8739,18.238,1.2855,17.8981,0.7458,0.0551,0.0092,0.0115,0.0102
53,1,3,16,128,2,2048,2,8,12,2,8,32,64,64,16,TAGE_SC_L_64KB,185.8535,112.151,18.6269,92.5938,17.7383,1.2007,10.283,0.7308,0.0546,0.0093,0.0099,0.0101
54,1,2.2,16,128,1,2048,4,12,12,8,4,32,16,16,32,MultiperspectivePerceptron64KB,211.8553,117.146,19.3306,99.6813,18.4325,1.2934,13.4342,0.8728,0.1198,0.0085,0.0089,0.01
55,1,4,128,32,4,1024,16,8,4,4,4,256,96,64,8,TAGE_SC_L_64KB,97.4634,93.809,17.6595,68.7351,16.577,1.1919,14.2822,0.7987,0.0549,0.009,0.0256,0.0103
56,1,2,128,16,8,256,2,8,4,8,2,64,128,8,32,TournamentBP,95.9156,72.8063,17.4113,51.1832,16.2134,1.2439,10.3259,0.8024,0.0675,0.0088,0.0889,0.0106
57,1,2.6,64,32,4,512,2,8,4,8,8,128,64,64,32,MultiperspectivePerceptron64KB,104.289,87.5585,17.5091,64.8943,16.4019,1.2488,14.437,0.9098,0.126,0.008,0.0242,0.0104
58,1,1.8,16,16,2,512,8,2,12,4,12,32,128,8,32,TournamentBP,150.819,85.8767,17.3595,67.8413,16.3283,1.2103,7.5822,0.7081,0.0676,0.0112,0.0674,0.0106
59,1,3.2,32,64,2,1024,4,4,2,2,4,64,32,16,16,TAGE,84.9489,66.1383,17.2372,41.9043,16.1269,1.1481,7.1496,0.7243,0.0561,0.0094,0.0142,0.0102
60,1,3.2,16,128,4,256,8,2,8,8,12,32,96,32,8,TAGE_SC_L_64KB,125.0065,123.327,17.4516,101.9988,16.4029,1.2588,15.2127,0.6594,0.0551,0.0112,0.0096,0.0101
61,1,1.6,128,64,1,1024,8,4,4,2,8,192,64,32,8,TAGE_SC_L_64KB,94.3771,44.482,17.5182,24.1802,16.4541,1.1656,4.7206,0.8082,0.0551,0.0084,0.0159,0.0102
62,1,1,64,128,2,2048,2,2,4,2,8,64,128,16,16,TAGE_SC_L_64KB,111.4503,35.9215,18.4702,15.8634,17.3916,1.1736,3.1365,0.7993,0.0553,0.0098,0.0124,0.0101
63,1,3.6,32,32,2,256,4,12,8,8,4,32,64,64,64,MultiperspectivePerceptron64KB,128.8067,131.978,17.2642,110.8727,16.2893,1.2555,18.4302,0.7592,0.122,0.0078,0.0166,0.0104
