
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000910                       # Number of seconds simulated (Second)
simTicks                                    910439689                       # Number of ticks simulated (Tick)
finalTick                                   910439689                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      5.93                       # Real time elapsed on the host (Second)
hostTickRate                                153635762                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     799432                       # Number of bytes of host memory used (Byte)
simInsts                                      1916896                       # Number of instructions simulated (Count)
simOps                                        3412735                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   323470                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     575887                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          2908754                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.517429                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.659009                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         3509471                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      205                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        3495723                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     87                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                96905                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            116446                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 103                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             2680249                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.304253                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.192748                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    926231     34.56%     34.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    566023     21.12%     55.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    761925     28.43%     84.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    310552     11.59%     95.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    105678      3.94%     99.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      8292      0.31%     99.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                       915      0.03%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                       552      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                        64      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                        14      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                        3      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                10                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               2680249                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     944     89.39%     89.39% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     89.39% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     89.39% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     89.39% # attempts to use FU when none available (Count)
