
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000682                       # Number of seconds simulated (Second)
simTicks                                    681773064                       # Number of ticks simulated (Tick)
finalTick                                   681773064                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      6.05                       # Real time elapsed on the host (Second)
hostTickRate                                112780882                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     801492                       # Number of bytes of host memory used (Byte)
simInsts                                      1916896                       # Number of instructions simulated (Count)
simOps                                        3412735                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   317095                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     564537                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          2318957                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.209746                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.826620                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         3716914                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      225                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        3688914                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    134                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               304398                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            249043                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 123                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             2124268                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.736558                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.845400                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    811711     38.21%     38.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    337017     15.87%     54.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    342776     16.14%     70.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    185395      8.73%     78.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    215662     10.15%     89.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    162701      7.66%     96.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     49799      2.34%     99.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     18462      0.87%     99.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       730      0.03%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                        11      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                        4      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                10                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               2124268                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    1532     35.55%     35.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     35.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     35.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     35.55% # attempts to use FU when none available (Count)
