
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000910                       # Number of seconds simulated (Second)
simTicks                                    909882862                       # Number of ticks simulated (Tick)
finalTick                                   909882862                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      5.83                       # Real time elapsed on the host (Second)
hostTickRate                                156105758                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     799440                       # Number of bytes of host memory used (Byte)
simInsts                                      1916896                       # Number of instructions simulated (Count)
simOps                                        3412735                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   328871                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     585503                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          2906975                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.516501                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.659413                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         3533233                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      147                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        3516840                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    133                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               120624                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            143046                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  45                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             2686320                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.309166                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.230843                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    945615     35.20%     35.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    561288     20.89%     56.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    746651     27.79%     83.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    300287     11.18%     95.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    108377      4.03%     99.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     18930      0.70%     99.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      3575      0.13%     99.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      1041      0.04%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       510      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                        46      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 9                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               2686320                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    1048     70.01%     70.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     70.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     70.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     70.01% # attempts to use FU when none available (Count)
