
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000702                       # Number of seconds simulated (Second)
simTicks                                    701934988                       # Number of ticks simulated (Tick)
finalTick                                   701934988                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      7.73                       # Real time elapsed on the host (Second)
hostTickRate                                 90760805                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     802512                       # Number of bytes of host memory used (Byte)
simInsts                                      1916896                       # Number of instructions simulated (Count)
simOps                                        3412735                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   247854                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     441265                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          2524947                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.317206                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.759183                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         3884413                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      286                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        3810767                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    781                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               471943                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            433884                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 184                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             2324472                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.639412                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.923999                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    997855     42.93%     42.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    358837     15.44%     58.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    289312     12.45%     70.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    283678     12.20%     83.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    136377      5.87%     88.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    124842      5.37%     94.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     85740      3.69%     97.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     44534      1.92%     99.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      3297      0.14%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               2324472                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   19015     82.20%     82.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     82.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     82.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     82.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     82.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     82.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     82.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     82.20% # attempts to use FU when none available (Count)
